,instance_name,budget,n_edges,method,obj,lower_obj,time
136,SF_DNDP_20_6,0.25,20,mkkt_10,5159.61492023812,3586.537053762377,10.013275861740112
137,SF_DNDP_20_6,0.25,20,mkkt_30,5159.61492023812,3586.537053762377,30.016165018081665
138,SF_DNDP_20_6,0.5,20,mkkt_5,4390.21874717856,3297.6343601902518,5.0122480392456055
139,SF_DNDP_20_6,0.5,20,mkkt_10,4390.21874717856,3297.6343601902518,10.011189937591553
140,SF_DNDP_20_6,0.5,20,mkkt_30,4228.30391602566,3231.2434090093752,30.01177191734314
141,SF_DNDP_20_6,0.75,20,mkkt_5,4674.61940533071,3435.5677283373784,5.008297920227051
142,SF_DNDP_20_6,0.75,20,mkkt_10,4023.1620945804125,3112.0923257225913,10.008581161499023
143,SF_DNDP_20_6,0.75,20,mkkt_30,4006.9668088850044,3100.1534111074316,30.012771129608154
144,SF_DNDP_20_7,0.25,20,mkkt_5,5179.852522742813,3573.944275752029,5.007129907608032
145,SF_DNDP_20_7,0.25,20,mkkt_10,5179.852522742813,3573.944275752029,10.010251998901367
146,SF_DNDP_20_7,0.25,20,mkkt_30,5095.9696390708295,3586.758857350455,30.01297092437744
147,SF_DNDP_20_7,0.5,20,mkkt_5,4724.663523603999,3353.000025369094,5.0077550411224365
148,SF_DNDP_20_7,0.5,20,mkkt_10,4593.469811539385,3287.009785082009,10.00984001159668
149,SF_DNDP_20_7,0.5,20,mkkt_30,4403.501222826899,3219.668262492458,30.009528875350952
150,SF_DNDP_20_7,0.75,20,mkkt_5,4237.379432920252,3143.6120735341165,5.008181095123291
151,SF_DNDP_20_7,0.75,20,mkkt_10,4236.261862850972,3143.6177745519926,10.010710954666138
152,SF_DNDP_20_7,0.75,20,mkkt_30,4245.977051580747,3159.876077022149,30.0246479511261
153,SF_DNDP_20_8,0.25,20,mkkt_5,5425.198801872748,3696.834266201768,5.012022018432617
154,SF_DNDP_20_8,0.25,20,mkkt_10,5425.198801872748,3696.834266201768,10.0118567943573
155,SF_DNDP_20_8,0.25,20,mkkt_30,5165.216779201464,3587.25613762306,30.009371042251587
156,SF_DNDP_20_8,0.5,20,mkkt_5,4460.717644885273,3339.8654688387837,5.007596969604492
157,SF_DNDP_20_8,0.5,20,mkkt_10,4120.7570955923375,3203.4147186137184,10.004200220108032
158,SF_DNDP_20_8,0.5,20,mkkt_30,4098.212440615495,3190.7361421026453,30.013288021087646
159,SF_DNDP_20_8,0.75,20,mkkt_5,4593.9072264932265,3400.7872608220414,5.009810924530029
160,SF_DNDP_20_8,0.75,20,mkkt_10,3887.5647514432685,3049.89525889694,10.008804082870483
161,SF_DNDP_20_8,0.75,20,mkkt_30,3887.5647514432685,3049.89525889694,30.105597019195557
162,SF_DNDP_20_9,0.25,20,mkkt_5,5387.843187758977,3652.0967048021075,5.011933088302612
163,SF_DNDP_20_9,0.25,20,mkkt_10,5387.843187758977,3652.0967048021075,10.008708953857422
164,SF_DNDP_20_9,0.25,20,mkkt_30,5188.941819811244,3589.791451124086,30.015714168548584
165,SF_DNDP_20_9,0.5,20,mkkt_5,4285.627793501811,3237.3051019851982,5.005908966064453
166,SF_DNDP_20_9,0.5,20,mkkt_10,4285.627793501811,3237.3051019851982,10.00574278831482
167,SF_DNDP_20_9,0.5,20,mkkt_30,4285.627793501811,3237.3051019851982,30.00919198989868
168,SF_DNDP_20_9,0.75,20,mkkt_5,3976.2311187161004,3032.0474525016466,5.008113145828247
169,SF_DNDP_20_9,0.75,20,mkkt_10,3964.6074517306015,3038.1124742406387,10.011708974838257
170,SF_DNDP_20_9,0.75,20,mkkt_30,3964.6074517306015,3038.1124742406387,30.030816078186035
171,SF_DNDP_20_10,0.25,20,mkkt_5,5734.695860739546,3764.7404462186164,5.0130860805511475
172,SF_DNDP_20_10,0.25,20,mkkt_10,5432.813169882739,3688.325534256617,10.01631784439087
173,SF_DNDP_20_10,0.25,20,mkkt_30,5030.3634677144855,3626.33287176957,30.011396884918213
174,SF_DNDP_20_10,0.5,20,mkkt_5,4551.972653602615,3381.7490276798867,5.00462794303894
175,SF_DNDP_20_10,0.5,20,mkkt_10,4551.972653602615,3381.7490276798867,10.006302118301392
176,SF_DNDP_20_10,0.5,20,mkkt_30,4441.445860888648,3285.3805451958247,30.017218828201294
177,SF_DNDP_20_10,0.75,20,mkkt_5,4395.538666144058,3226.2728381239203,5.009026050567627
178,SF_DNDP_20_10,0.75,20,mkkt_10,4183.442982122679,3158.0275695162413,10.007519960403442
179,SF_DNDP_20_10,0.75,20,mkkt_30,4170.221254549916,3152.219198696341,30.053508043289185
